annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;855692;;HAY;Jules;M;2000-04-09;FR;78114;Magny-les-Hameaux;France;Non;En Terminale;F313757007A;Lycée à classe postbac;Lycée De Villaroy;Guyancourt;78;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2018-2019;511244;;JAN;Amalric;M;2000-12-01;FR;56330;Camors;France;Non;En Terminale;G945327411O;Lycée à classe postbac;Lycée Benjamin Franklin;Auray;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;332169;;JEZEQUEL;Hervé;M;2000-07-13;FR;29390;Scaër;France;Non;En Terminale;X535184612C;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;887694;;PONCET;John;M;2000-08-27;FR;22440;Ploufragan;France;Non;En Terminale;J146109831B;Lycée sans classe postbac;Lycée St Pierre;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;382619;;MOLINIER;Alden;M;2000-07-26;FR;35170;Bruz;France;Non;En Terminale;H681196783N;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;309979;;LORIOT;Allan;M;2000-05-17;FR;44115;Haute-Goulaine;France;Non;En Terminale;Q166899560B;Lycée à classe postbac;Lycée Charles Peguy EN;Clisson;44;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;432508;;CATHALA;Gregory;M;1999-05-22;FR;56330;Camors;France;Non;En Terminale;M864505246E;Lycée à classe postbac;Lycée Joseph Loth;Pontivy;56;France;Terminale;Terminale;STMG;;Gestion et Finance;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Gestion et Finance;;
2018-2019;371725;;LAFONT;Peter;M;1999-02-18;FR;56220;Malansac;France;Non;En Terminale;B523625274H;Lycée à classe postbac;Lycée Beaumont;Redon;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;401825;;GILLARD;Zackary;M;2000-12-14;FR;29610;Plouigneau;France;Non;En Terminale;M875284646Y;Lycée sans classe postbac;Lycée Notre Dame Du Mur;Morlaix;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;290505;;MORVAN;Garland;M;2000-09-02;FR;35830;Betton;France;Non;En Terminale;C045145070S;Lycée à classe postbac;Lycée Jean Mace;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
