annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;278066;;HEBERT;Nathan;M;1999-01-06;FR;56530;Gestel;France;Non;En Terminale;X106443949Y;Lycée à classe postbac;Lycée Jean-Baptiste Colbert;Lorient;56;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Allemand;Bac en préparation;Economique et social;;Mathématiques;;
2018-2019;382382;;JACQUEMIN;King;M;2001-08-17;FR;35170;Bruz;France;Non;En Terminale;B442604266G;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;805723;ECF;DELAPORTE;Constant;M;1999-11-06;FR;22150;Plémy;France;Non boursier;En Terminale;L065492227E;Lycée à classe postbac;Lycée Francois Rabelais;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;157924;;TOUZE;Bret;M;2000-05-12;FR;61100;Flers;France;Oui;En Terminale;P501872423J;Lycée à classe postbac;Lycée Jean Guehenno;Flers;61;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1137158;233;BROCHARD;Leopold;M;1995-12-02;FR;50490;Saint-Sauveur-Lendelin;France;Non boursier;Scolarisé dans le supérieur en France;Z211526528X;Université;Université de Rennes 1;Rennes;35;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Informatique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis sans mention;07/2015   
2016-2017;318633;186;BLOCH;Kolby;M;1998-06-25;FR;14340;Formentin;France;Non boursier;En Terminale;F229375514S;Lycée sans classe postbac;Lycée Marcel Gambier;Lisieux;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;238640;ECF;FAYE;Kimball;M;1999-02-08;FR;50730;Saint-Hilaire-du-Harcouët;France;Non boursier;En Terminale;B804254475B;Lycée à classe postbac;Lycée Julliot De La Morandiere;Granville;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;517202;;MARTINI;Ern;M;2000-05-23;FR;56600;Lanester;France;Non;En Terminale;D724365373X;Lycée à classe postbac;Lycée Jean Macé;Lanester;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;643520;;ROBLIN;Sly;M;1999-04-16;FR;35170;Bruz;France;Non;En Terminale;U856511931C;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;722851;;BEAUFILS;Jeannot;M;2000-07-10;FR;44230;Saint-Sébastien-sur-Loire;France;Non;En Terminale;H828155207S;Lycée à classe postbac;Lycée Jean Perrin;Rezé;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;501281;;MURAT;Irvine;M;2000-11-26;FR;35240;Le Theil-de-Bretagne;France;Non;En Terminale;N126663481G;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;382449;;NICOL;Wilfrid;M;2000-09-06;FR;35131;Chartres-de-Bretagne;France;Non;En Terminale;S762216698T;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Italien;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;501350;;LEDRU;Cleve;M;2001-11-02;FR;35360;Médréac;France;Non;En Terminale;H498948462A;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;379357;;PORTIER;Kennith;M;2000-02-09;FR;22630;Les Champs-Géraux;France;Non;En Terminale;H716334695K;Lycée à classe postbac;Lycée De La Fontaine Des Eaux;Dinan;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;483710;;LEBRET;Jerome;M;2000-08-22;FR;35690;Acigné;France;Non;En Terminale;H897671107N;Lycée à classe postbac;Lycée Pierre Mendes France;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;436046;;PRUVOT;Marshal;M;2000-12-06;FR;22560;Trébeurden;France;Non;En Terminale;G938221747Y;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;341112;;BRIQUET;Kay;F;2000-09-08;FR;35740;Pacé;France;Non;En Terminale;A711638672M;Lycée à classe postbac;Lycée Victor et Hélène BASCH;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;667430;;JARDIN;Benson;M;2000-06-25;FR;22120;Yffiniac;France;Non;En Terminale;S987829086N;Lycée à classe postbac;Lycée Ernest Renan;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Italien;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;876211;;MONNOT;Jarvis;M;2000-09-22;FR;56700;Hennebont;France;Non;En Terminale;V629817162L;Lycée sans classe postbac;Lycée Notre Dame Du Voeu;Hennebont;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;203259;;JOSSE;Maverick;M;2000-06-15;FR;35290;Muel;France;Non;En Terminale;H636074024K;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;667435;;BORDIER;Innocent;M;2000-05-15;FR;22410;Lantic;France;Oui;En Terminale;T627875861W;Lycée à classe postbac;Lycée Ernest Renan;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;436085;;LEGAY;Beatrix;F;2000-06-05;FR;22300;Ploumilliau;France;Non;En Terminale;O417816883D;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;501390;;FOURNET;Kenith;M;2000-03-05;FR;35340;Liffré;France;Non;En Terminale;R263072949U;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;436596;;GRANIER;Dominic;M;1999-09-16;FR;22730;Trégastel;France;Non;En Terminale;D809148531O;Lycée sans classe postbac;Lycée professionnel Felix Le Dantec;Lannion;22;France;Terminale;Terminale;P;;Systèmes électroniques numériques;Anglais;;Bac en préparation;Professionnelle;;Systèmes électroniques numériques;;
2018-2019;544475;;MOISAN;Burt;M;2000-03-08;FR;22200;Plouisy;France;Non;En Terminale;R498197511I;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;470941;NC;LAIR;Basile;M;1998-03-15;FR;37000;Tours;France;Non boursier;En Terminale;Z984246525S;Lycée à classe postbac;Lycée Grandmont;Tours;37;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2016-2017;470808;RHD;MILON;Arabella;F;1999-02-04;FR;37260;Monts;France;Non boursier;En Terminale;D812213116A;Lycée à classe postbac;Lycée Grandmont;Tours;37;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;469146;NC;PIERSON;Guillaume;M;1997-01-03;FR;74500;Chevenoz;France;Non boursier;En Terminale;T107493257Q;Lycée à classe postbac;Lycée Anna de Noailles;Evian-les-Bains;74;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Italien;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;286818;NC;PIOT;Porter;M;1996-06-20;Hors UE;97360;Mana;France;Boursier du secondaire;En Terminale;D528479536M;Lycée à classe postbac;Lycée polyvalent Leopold Elfort;Mana;973;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;179134;NC;BROUARD;Lynwood;M;1998-07-20;FR;97460;Saint-Paul;France;Non boursier;En Terminale;R954845901V;Lycée à classe postbac;Lycée Evariste De Parny;Saint-Paul;974;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2016-2017;231582;NC;GRAVIER;Jon;M;1998-03-15;FR;14380;Saint-Sever-Calvados;France;Non boursier;En Terminale;Z869852384M;Lycée à classe postbac;Lycée Marie Curie;Vire;14;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;231586;15;TUAL;Tatum;F;1998-05-25;FR;14380;Saint-Manvieu-Bocage;France;Non boursier;En Terminale;W775862571P;Lycée à classe postbac;Lycée Marie Curie;Vire;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;326671;NCF;PEYRON;Palmer;M;1998-07-02;FR;35760;Saint-Grégoire;France;Non boursier;En Terminale;R201687776L;Lycée sans classe postbac;Lycée Jean-Paul II;Saint-Grégoire;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Espagnol;Anglais;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;326689;NCF;TALON;Blaze;M;1998-04-16;FR;35520;La Mézière;France;Non boursier;En Terminale;U821343927O;Lycée sans classe postbac;Lycée Jean-Paul II;Saint-Grégoire;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;303186;NC;ZIEGLER;Jeb;M;1996-06-20;FR;78180;Montigny-le-Bretonneux;France;Non boursier;En Terminale;F650736138B;Lycée sans classe postbac;Lycée Emilie De Breteuil;Montigny-le-Bretonneux;78;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;434175;87;CLERC;Durward;M;1998-04-10;FR;78990;Elancourt;France;Non boursier;En Terminale;U548726667P;Lycée sans classe postbac;Lycée St Exupery;Montigny-le-Bretonneux;78;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;1160513;NC;RICHE;Greig;M;1997-01-08;FR;37270;Azay-sur-Cher;France;Non boursier;Scolarisé dans le supérieur en France;F367822609N;Université;Universite François-Rabelais - Tours;Tours;37;France;1ère année d'études supérieures;Licences;Licence - Sciences - technologies - santé;;Mathématiques;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis mention Assez Bien;07/2015   
2016-2017;1236002;NC;BOCQUET;Ford;M;1992-07-06;FR;62320;Rouvroy;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;I771543574I;Université;Universite François-Rabelais - Tours;Tours;37;France;3ème année d'études supérieures;Licences;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;;;Bac français obtenu;Sciences et technologie industrielles;;Arts appliqués;Admis mention Assez Bien;07/2011   
2018-2019;186530;;BIRON;Lauren;F;2000-04-25;FR;56100;Lorient;France;Oui;En Terminale;D483651464K;Lycée sans classe postbac;Lycée St LOUIS;Lorient;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;318861;;CHAIX;Forest;M;2000-03-19;FR;35760;Saint-Grégoire;France;Non;En Terminale;T831726457T;Lycée sans classe postbac;Lycée Jean-Paul II;Saint-Grégoire;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2017-2018;171659;ECF;ROCHARD;Odell;M;1999-01-14;FR;29170;Saint-Evarzec;France;Non boursier;En Terminale;U316186114D;Lycée à classe postbac;Lycée Le Likès;Quimper;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;1175748;;LHUILLIER;Beauregard;M;1999-08-04;FR;49300;Cholet;France;Boursier de l'enseignement supérieur;Scolarisé dans le supérieur en France;V872937761Q;I.U.T;I.U.T de Lannion;Lannion;22;France;1ère année d'études supérieures;DUT;DUT - Production;;Informatique;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis sans mention;07/2017   
2018-2019;667495;;LAFARGUE;Jay;M;2000-02-05;FR;22190;Plérin;France;Non;En Terminale;S605918095E;Lycée à classe postbac;Lycée Ernest Renan;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;483743;;CRESPIN;Rhonda;F;2000-03-14;FR;35000;Rennes;France;Non;En Terminale;X778451849R;Lycée à classe postbac;Lycée Pierre Mendes France;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Chinois;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2016-2017;802295;NP;DUCASSE;Hyram;M;1998-06-18;FR;14100;Norolles;France;Non boursier;En Terminale;W052142789C;Lycée sans classe postbac;Lycée Institution Fremont;Lisieux;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;509153;NCF;COULON;Flavie;F;1998-04-15;FR;45250;Briare;France;Boursier du secondaire;En Terminale;K123129775T;Lycée à classe postbac;Lycée Saint Francois De Sales;Gien;45;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;199381;8;AUGE;Bysshe;M;1998-04-21;FR;22110;Glomel;France;Non boursier;En Terminale;W151142473X;Lycée à classe postbac;Lycée Notre Dame De Campostal;Rostrenen;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;199398;176;JACQUIN;Geoffrey;M;1998-12-23;FR;29270;Cléden-Poher;France;Non boursier;En Terminale;H354553831M;Lycée à classe postbac;Lycée Notre Dame De Campostal;Rostrenen;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;199438;255;LEVILLAIN;Paschal;M;1998-02-04;FR;22570;Plélauff;France;Non boursier;En Terminale;Y286135116K;Lycée à classe postbac;Lycée Notre Dame De Campostal;Rostrenen;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;564115;NC;MIQUEL;Tyson;M;1998-10-24;FR;45150;Jargeau;France;Non boursier;En Terminale;V896778738R;Lycée à classe postbac;Lycée Jacques Monod;Saint-Jean-de-Braye;45;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;643831;RHD;LACOMBE;Troy;M;1998-06-05;FR;95320;Saint-Leu-la-Forêt;France;Non boursier;En Terminale;E062977335B;Lycée à classe postbac;Lycée Jacques Prevert;Taverny;95;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2017-2018;1171105;ECF;MORICE;Madonna;F;1996-05-23;UE;24220;Beynac-et-Cazenac;France;Non boursier;Non scolarisé;Q559015369F;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis mention Assez Bien;juil-14   
2016-2017;419741;NC;LEDOUX;Rollo;M;1998-12-07;FR;21200;Beaune;France;Non boursier;En Terminale;N524339229P;Lycée sans classe postbac;Lycée Saint Coeur;Beaune;21;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;1234079;NC;SENECHAL;Vin;M;1996-08-07;FR;45500;Gien;France;Boursier de l'enseignement supérieur;Non scolarisé;L984212615F;Université;Université d'Orléans;Orléans;45;France;1ère année d'études supérieures;Licences;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Admis sans mention;07/2015   
2016-2017;327697;NCF;METZ;Corbin;M;1998-05-17;FR;45470;Traînou;France;Non boursier;En Terminale;P428773795H;Lycée à classe postbac;Lycée BENJAMIN FRANKLIN;Orléans;45;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;327557;4;PICART;Chauncey;M;1997-09-25;FR;45450;Fay-aux-Loges;France;Non boursier;En Terminale;U509008143W;Lycée à classe postbac;Lycée BENJAMIN FRANKLIN;Orléans;45;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;427010;NP;HEUZE;Aurelien;M;1998-02-04;FR;45380;La Chapelle-Saint-Mesmin;France;Non boursier;En Terminale;U984674807U;Lycée à classe postbac;Lycée Maurice Genevoix;Ingré;45;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;204499;NC;DUHAMEL;Dudley;M;1998-03-04;FR;77380;Combs-la-Ville;France;Boursier du secondaire;En Terminale;Q857210706V;Lycée à classe postbac;Ecole des Pupilles de l'Air - lycée de la défense;Saint-Ismier;38;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2016-2017;405832;82;LAVAUD;Piers;M;1998-10-29;FR;16100;Châteaubernard;France;Non boursier;En Terminale;P675328352W;Lycée à classe postbac;Lycée Jean Monnet;Cognac;16;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2016-2017;413112;262;COSTES;Emmie;F;1998-06-16;FR;14600;Honfleur;France;Non boursier;En Terminale;A828601352C;Lycée sans classe postbac;Lycée Albert Sorel;Honfleur;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;429009;NC;GUILLOTEAU;Eldon;M;1998-05-25;FR;18340;Saint-Germain-des-Bois;France;Non boursier;En Terminale;J976556218J;Lycée à classe postbac;Lycée Pierre-Emile Martin;Bourges;18;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2016-2017;681121;NC;ROULET;Rolph;M;1997-02-08;FR;24140;Villamblard;France;Non boursier;En Terminale;G162824307Q;Lycée à classe postbac;Lycée Bertran De Born;Périgueux;24;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Russe;Bac en préparation;Economique et social;;Mathématiques;;
2017-2018;418872;ECF;PION;Eldred;M;1999-04-16;FR;35690;Acigné;France;Non boursier;En Terminale;N448151059M;Lycée sans classe postbac;Lycée Sevigne;Cesson-Sévigné;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2018-2019;479126;;SERGENT;Nicholas;M;1999-10-20;FR;35500;Vitré;France;Non;En Terminale;Q907749833V;Lycée à classe postbac;Lycée Bertrand D'Argentre;Vitré;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;332248;;GILLOT;Beaumont;M;1999-08-29;FR;29000;Quimper;France;Non;En Terminale;G266435433D;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;165053;;MARION;Duke;M;1999-02-01;FR;14000;Caen;France;Non;En Terminale;I047846618W;Lycée à classe postbac;Lycée Charles-De-Gaulle;Caen;14;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2016-2017;473063;NC;CABROL;Nic;M;1998-07-18;FR;50680;Saint-André-de-l'Epine;France;Non boursier;En Terminale;A346448392B;Lycée à classe postbac;Lycée Le Verrier;Saint-Lô;50;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2016-2017;1159668;NC;DUFOSSE;Joël;M;1993-04-25;FR;61150;Ecouché-les-Vallées;France;Boursier de l'enseignement supérieur;Non scolarisé;L316837818Q;Université;Université de Caen Normandie;Caen;14;France;4ème année d'études supérieures ou plus;Master;;;;;;Bac français obtenu;Littéraire;;Mathématiques;Admis sans mention;07/2011   
2016-2017;771638;NC;LOUVEL;Franklin;M;1998-12-08;FR;50160;Saint-Amand;France;Non boursier;En Terminale;L557685919H;Lycée à classe postbac;Lycée Pierre Et Marie Curie;Saint-Lô;50;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2016-2017;771406;NP;CHARRIERE;Clifton;M;1998-07-02;FR;14500;Vire;France;Non boursier;En Terminale;N058413801W;Lycée à classe postbac;Lycée Pierre Et Marie Curie;Saint-Lô;50;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2016-2017;771584;NCF;BERTHO;Daniel;M;1998-07-09;FR;35400;Saint-Malo;France;Non boursier;En Terminale;F419792822Q;Lycée à classe postbac;Lycée Pierre Et Marie Curie;Saint-Lô;50;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2016-2017;511258;NC;CARRIERE;Royce;M;1997-02-10;FR;56110;Gourin;France;Non boursier;En Terminale;M070320034B;Lycée sans classe postbac;Lycée Ste Jeanne D'Arc;Gourin;56;France;Terminale;Terminale;ES;;Sciences sociales et politiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Sciences sociales et politiques;;
2016-2017;614847;259;BERNARDIN;Zach;M;1997-07-05;FR;22610;Pleubian;France;Non boursier;En Terminale;S563455624P;Lycée à classe postbac;Lycée Joseph Savina;Tréguier;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Italien;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
