prenom;moyenne;code_postal;niveau_etude;mention_bac
Layton;15.00;35350;Terminale;B
Michel;12.25;29850;Terminale;P
Jérémie;17.75;22300;Terminale;TB
Bennett;16.75;22120;Terminale;B
Beauregard;11.00;49300;1ère année d'études supérieures;P
Félix;11.00;29000;Terminale;AB
Marin;15.50;56240;Terminale;P
Major;12.25;56190;Terminale;AB
Telesphore;11.50;6650 ;Terminale;B
Lori;18.50;29650;2nd année d'études supérieures;B
Gore;18.00;22700;1ère année d'études supérieures;AB
Elea;16.75;22220;Terminale;TB
Linton;8.50;35500;Terminale;B
York;9.75;56250;Terminale;P
Upton;11.00;29750;Terminale;AB
Félicie;12.25;35750;Terminale;P
Nicodème;12.00;22750;Terminale;AB
Michel;16.75;22300;Terminale;B
Deangelo;11.00;29720;1ère année d'études supérieures;AB
Zachary;12.25;22200;Terminale;AB
Montgomery;13.75;22820;Terminale;B
Justin;14.75;22120;Terminale;AB
Joscelin;13.25;29250;Terminale;P
Booker;11.75;56300;Terminale;P
Vinnie;10.75;35730;Terminale;AB
Quin;13.50;35400;Terminale;P
Brice;10.25;72300;1ère année d'études supérieures;P
Lanford;15.25;56440;1ère année d'études supérieures;B
Marion;7.75;35131;Terminale;AB
Odell;16.50;29170;Terminale;TB
Lorn;17.50;29000;Terminale;AB
Louie;12.75;35170;1ère année d'études supérieures;AB
Luann;13.50;29800;Terminale;B
Cole;14.50;22600;Terminale;P
Teale;17.25;56120;Terminale;B
Dax;13.00;35520;Terminale;P
Lally;14.25;22170;Terminale;B
Garey;12.75;35230;Terminale;P
Oz;18.75;22590;Terminale;B
Jermaine;11.25;29470;Terminale;AB
Charlot;11.25;29900;Terminale;TB
Lowell;10.80;29470;Terminale;P
Erica;11.85;29800;Terminale;B
Russell;13.00;56140;Terminale;AB
Arden;10.00;35140;Terminale;AB
Jeannot;14.10;44230;Terminale;AB
Xavior;10.25;56100;Terminale;AB
Gil;15.65;22730;Terminale;AB
Zacharie;13.50;35410;Terminale;AB
Denis;13.65;50620;Terminale;AB
Jake;11.10;56370;Terminale;P
Jimi;14.05;56680;Terminale;AB
Innocent;13.20;22410;Terminale;P
Christine;13.05;35230;Terminale;AB
Jonathon;9.80;35340;Terminale;AB
Uland;19.00;29800;Terminale;TB
Kay;13.95;35740;Terminale;AB
Jere;12.45;85170;Terminale;AB
Kodey;19.70;22410;Terminale;B
Corie;12.35;35700;Terminale;AB
Jonathon;10.10;29510;Terminale;B
Lucetta;16.00;85600;Terminale;TB
Forest;13.80;35760;Terminale;AB
Durward;10.95;29390;Terminale;AB
Careen;12.70;22810;1ère année d'études supérieures;AB
Marly;11.50;35310;Terminale;AB
Rhonda;10.80;35000;Terminale;AB
Thaddeus;19.70;22300;2nd année d'études supérieures;AB
Maynard;13.35;22120;Terminale;AB
Cole;10.70;22120;Terminale;P
Benjy;12.60;22600;Terminale;AB
Xerxes;14.30;22960;Terminale;P
Jamison;14.00;50300;Terminale;B
Kenith;13.15;35340;Terminale;AB
Hector;13.55;56800;Terminale;P
Dominic;15.50;22730;Terminale;B
Lloyd;11.20;35220;Terminale;AB
Van;15.25;29490;Terminale;P
Gladwyn;13.50;35500;Terminale;AB
Benson;13.20;22120;Terminale;AB
Maverick;12.60;35290;Terminale;AB
Pancras;14.30;29860;Terminale;AB
Jay;8.00;22190;Terminale;P
Toussaint;11.65;56260;Terminale;AB
Flip;15.50;56530;Terminale;B
Humphry;12.75;56230;Terminale;AB
Jerome;13.35;35132;Terminale;B
Lorin;13.70;35750;Terminale;B
Randall;14.80;49270;Terminale;P
Cleve;18.60;35360;Terminale;B
Beatrix;16.20;22300;Terminale;B
Moses;13.25;29400;Terminale;P
Estelle;12.90;29260;Terminale;AB
Beauregard;11.60;49300;1ère année d'études supérieures;P
Porter;12.10;22140;Terminale;AB
Terence;9.90;56130;Terminale;B
Telesphore;17.00;6650 ;Terminale;B
Egbert;4.00;22600;1ère année d'études supérieures;AB
Ern;10.20;56600;Terminale;B
Antony;9.15;22100;Terminale;P
Linton;10.10;35500;Terminale;B
Audrey;10.05;22300;Terminale;AB
Anson;19.05;35430;Terminale;B
Dudley;12.60;22100;Terminale;AB
Burt;14.50;22200;Terminale;P
Angie;13.40;56440;Terminale;AB
Jarvis;11.60;56700;Terminale;P
Shaun;16.30;22300;Terminale;B
Félicie;12.25;35750;Terminale;P
Irvine;11.10;35240;Terminale;AB
Wilfrid;11.85;35131;Terminale;AB
Leyton;8.75;22930;Terminale;P
Delroy;10.70;29380;Terminale;P
Montgomery;15.70;22820;Terminale;B
Joan;13.70;29460;Terminale;B
Edmund;9.25;35120;Terminale;P
Franck;11.20;35310;Terminale;AB
Topher;10.85;56240;Terminale;AB
Branden;12.90;29000;Terminale;AB
Kory;12.85;29850;Terminale;P
Kennith;16.60;22630;Terminale;AB
Dorthy;13.35;56300;Terminale;AB
Brice;13.80;72300;1ère année d'études supérieures;P
Donat;10.10;29000;Terminale;B
Marshal;18.15;22560;Terminale;B
Urban;15.10;22290;Terminale;B
Gwilherm;11.50;56920;Terminale;P
Rudy;13.80;22290;;P
Sly;13.30;35170;Terminale;P
Milo;16.90;35000;Terminale;B
Tybalt;9.10;22230;Terminale;AB
Arron;10.55;22120;Terminale;AB
Jarrett;12.10;44640;Terminale;AB
Philip;13.05;29100;Terminale;AB
Leroy;15.60;29600;Terminale;B
Royle;8.55;22000;Terminale;AB
Darden;17.70;29280;Terminale;P
Bret;13.20;61100;Terminale;AB
Chuck;14.50;22300;Terminale;AB
Brack;15.30;22400;Terminale;P
Chet;13.20;29800;Terminale;AB
Redd;7.05;22200;1ère année d'études supérieures;B
Daniel;15.84;22540;Terminale;AB
Clément;7.48;;Terminale;AB
Jon;11.59;56850;Terminale;AB
Kolby;6.53;14340;Terminale;P
Thelonius;5.88;29120;Terminale;B
Kristia;6.85;29520;Terminale;P
Leopold;9.31;50490;1ère année d'études supérieures;P
Lovell;8.92;29120;Terminale;B
Wymond;11.48;29200;1ère année d'études supérieures;B
Earnest;11.83;22480;Terminale;AB
Edwyn;10.66;29860;Terminale;AB
Kristopher;11.43;56950;Terminale;AB
Jonathan;9.44;31880;Terminale;AB
Zach;7.54;29800;Terminale;AB
Randolf;4.80;35230;Terminale;P
James;14.07;22290;1ère année d'études supérieures;B
Winton;12.46;22570;1ère année d'études supérieures;TB
Gervaise;9.73;22300;Terminale;B
Denzel;10.21;29000;Terminale;P
Maximilien;11.32;85540;Terminale;AB
Clayton;16.38;29150;1ère année d'études supérieures;AB
Jérémie;14.37;22820;Terminale;B
Morley;15.23;35500;Terminale;AB
Bertram;10.89;29200;Terminale;AB
Gratien;10.32;49000;Terminale;P
Xaviar;12.31;29200;Terminale;AB
Reena;9.86;29870;Terminale;P
Timothée;18.19;22110;Terminale;B
Gladwyn;10.02;22590;Terminale;B
Eliott;10.99;49460;Terminale;AB
Brent;12.92;35250;1ère année d'études supérieures;AB
Dayton;6.63;29200;Terminale;B
Gil;10.48;29710;Terminale;AB
Lockie;15.46;29490;Terminale;TB
Woodrow;11.52;35137;Terminale;AB
Driskoll;8.59;35720;Terminale;AB
Stanford;12.92;22170;Terminale;B
Upton;7.75;29750;Terminale;AB
Lalo;7.70;29290;Terminale;AB
Matthieu;15.90;22100;Terminale;AB
Marquis;14.91;22440;Terminale;AB
Deangelo;7.84;29720;1ère année d'études supérieures;AB
Zachary;9.55;22200;Terminale;AB
Dustin;13.38;35160;Terminale;AB
Phillip;9.37;35133;Terminale;B
Deemer;12.70;22600;Terminale;P
Elric;14.55;29233;1ère année d'études supérieures;TB
Lorne;11.19;29710;Terminale;AB
Quin;8.37;35400;Terminale;P
Diodore;5.76;29200;Terminale;P
Maverick;11.61;22550;Terminale;B
Rainier;10.13;41000;Terminale;B
Lally;6.78;22170;Terminale;B
Al;13.17;56240;1ère année d'études supérieures;P
Annie;14.78;35170;1ère année d'études supérieures;TB
Mason;10.04;29200;Terminale;P
Donnie;10.14;56870;Terminale;AB
Sylvain;11.24;29500;Terminale;B
Fabrice;11.23;29800;Terminale;AB
Perry;12.22;35000;1ère année d'études supérieures;AB
Gene;11.72;29250;Terminale;AB
Leyton;6.74;22930;Terminale;P
Kipling;7.55;22470;2nd année d'études supérieures;P
Hewie;11.12;56120;Terminale;B
Felicity;9.59;85170;Terminale;AB
Maurine;9.29;22000;Terminale;B
Kolby;11.51;14340;Terminale;P
Landon;14.41;29233;Terminale;B
Kristia;10.01;29520;Terminale;P
Everard;8.95;22300;Terminale;AB
Trent;10.72;22300;;
Everett;14.29;22940;Terminale;B
Armel;6.95;22590;Terminale;AB
Gervase;10.13;56400;1ère année d'études supérieures;P
Piers;12.69;22400;Terminale;AB
Shaw;13.62;35890;Terminale;AB
Wiley;9.16;35740;Terminale;AB
Constant;12.59;22150;Terminale;P
Alban;13.07;22300;1ère année d'études supérieures;AB
Jeffrey;13.71;29830;Terminale;AB
Edison;7.35;35000;Terminale;P
Jacob;7.29;35870;Terminale;AB
Amédée;11.21;29800;Terminale;B
Nathan;5.97;22700;Terminale;B
Guiscard;15.78;35170;Terminale;AB
Kimball;10.95;50600;Terminale;AB
Zach;10.87;29800;Terminale;AB
Deon;9.56;29800;Terminale;B
Lovel;12.43;35450;Terminale;AB
Randolf;12.84;35230;Terminale;P
Shelley;16.37;29840;Terminale;TB
Lucienne;11.55;56140;Terminale;B
Wilbur;15.21;35800;Terminale;AB
Johnie;11.24;22440;Terminale;B
Van;7.07;29490;Terminale;P
Tel;7.45;22950;Terminale;AB
Jeff;13.27;22400;Terminale;AB
Gratien;11.74;49000;Terminale;P
Dawson;16.59;35131;1ère année d'études supérieures;TB
Floyd;11.08;29590;1ère année d'études supérieures;P
Dayton;12.39;29200;Terminale;B
Xavier;15.19;29170;Terminale;P
Lorn;10.38;22100;Terminale;B
Ike;8.51;35720;Terminale;B
Vincent;7.01;35200;Terminale;B
Pete;12.35;22300;1ère année d'études supérieures;AB
Kole;12.76;29190;Terminale;B
Joël;11.25;22730;Année préparatoire aux études supérieures;AB
Layton;12.59;35350;Terminale;B
Michel;11.84;29850;Terminale;P
Jérémie;17.92;22300;Terminale;TB
Bennett;13.02;22120;Terminale;B
Beauregard;8.23;49300;1ère année d'études supérieures;P
Félix;8.49;29000;Terminale;AB
Marin;12.37;56240;Terminale;P
Major;14.52;56190;Terminale;AB
Telesphore;9.42;6650 ;Terminale;B
Lori;19.12;29650;2nd année d'études supérieures;B
Gore;8.80;22700;1ère année d'études supérieures;AB
Elea;15.77;22220;Terminale;TB
Linton;8.22;35500;Terminale;B
York;14.70;56250;Terminale;P
Upton;13.41;29750;Terminale;AB
Félicie;4.83;35750;Terminale;P
Nicodème;6.58;22750;Terminale;AB
Michel;16.02;22300;Terminale;B
Deangelo;10.55;29720;1ère année d'études supérieures;AB
Zachary;14.69;22200;Terminale;AB
Montgomery;4.70;22820;Terminale;B
Justin;11.99;22120;Terminale;AB
Joscelin;9.63;29250;Terminale;P
Booker;15.02;56300;Terminale;P
Vinnie;8.38;35730;Terminale;AB
Quin;13.24;35400;Terminale;P
Brice;7.15;72300;1ère année d'études supérieures;P
Lanford;9.09;56440;1ère année d'études supérieures;B
Marion;6.80;35131;Terminale;AB
Odell;12.44;29170;Terminale;TB
Lorn;13.76;29000;Terminale;AB
Louie;9.77;35170;1ère année d'études supérieures;AB
Luann;7.07;29800;Terminale;B
Cole;10.15;22600;Terminale;P
Teale;13.26;56120;Terminale;B
Dax;11.09;35520;Terminale;P
Lally;10.39;22170;Terminale;B
Garey;8.07;35230;Terminale;P
Oz;15.25;22590;Terminale;B
Jermaine;8.88;29470;Terminale;AB
Charlot;10.25;29900;Terminale;TB
Lowell;6.77;29470;Terminale;P
Sébastienne;7.64;22250;Terminale;TB
Erica;8.02;29800;Terminale;B
Russell;7.72;56140;Terminale;AB
Leyton;9.86;22930;Terminale;P
Kipling;10.93;22470;2nd année d'études supérieures;P
Arden;8.12;35140;Terminale;AB
Jeannot;11.71;44230;Terminale;AB
Xavior;7.57;56100;Terminale;AB
Gil;11.72;22730;Terminale;AB
Zacharie;8.96;35410;Terminale;AB
Denis;9.86;50620;Terminale;AB
Jake;10.87;56370;Terminale;P
Jimi;11.02;56680;Terminale;AB
Innocent;8.24;22410;Terminale;P
Christine;10.07;35230;Terminale;AB
Jonathon;9.15;35340;Terminale;AB
Uland;4.65;29800;Terminale;TB
Kay;7.28;35740;Terminale;AB
Jere;9.13;85170;Terminale;AB
Kodey;15.71;22410;Terminale;B
Corie;7.44;35700;Terminale;AB
Jonathon;9.53;29510;Terminale;B
Lucetta;12.51;85600;Terminale;TB
Forest;11.60;35760;Terminale;AB
Durward;5.61;29390;Terminale;AB
Careen;10.02;22810;1ère année d'études supérieures;AB
Marly;10.52;35310;Terminale;AB
Rhonda;6.49;35000;Terminale;AB
Thaddeus;13.93;22300;2nd année d'études supérieures;AB
Maynard;8.81;22120;Terminale;AB
Cole;10.19;22120;Terminale;P
Benjy;11.26;22600;Terminale;AB
Xerxes;10.71;22960;Terminale;P
Jamison;11.53;50300;Terminale;B
Kenith;10.94;35340;Terminale;AB
Hector;6.78;56800;Terminale;P
Dominic;11.45;22730;Terminale;B
Lloyd;9.32;35220;Terminale;AB
Van;9.60;29490;Terminale;P
Gladwyn;10.79;35500;Terminale;AB
Benson;10.36;22120;Terminale;AB
Maverick;9.12;35290;Terminale;AB
Pancras;12.03;29860;Terminale;AB
Toussaint;10.18;56260;Terminale;AB
Flip;11.04;56530;Terminale;B
Ike;9.26;35720;Terminale;B
Humphry;7.92;56230;Terminale;AB
Jerome;5.71;35132;Terminale;B
Lorin;12.72;35750;Terminale;B
Randall;8.35;49270;Terminale;P
Cleve;9.71;35360;Terminale;B
Beatrix;10.69;22300;Terminale;B
Moses;14.38;29400;Terminale;P
Estelle;8.41;29260;Terminale;AB
Beauregard;9.76;49300;1ère année d'études supérieures;P
Porter;12.33;22140;Terminale;AB
Terence;9.60;56130;Terminale;B
Telesphore;15.68;6650 ;Terminale;B
Egbert;7.23;22600;1ère année d'études supérieures;AB
Ern;8.30;56600;Terminale;B
Antony;7.24;22100;Terminale;P
Linton;8.43;35500;Terminale;B
Audrey;4.40;22300;Terminale;AB
Anson;13.07;35430;Terminale;B
Dudley;10.30;22100;Terminale;AB
Burt;9.45;22200;Terminale;P
Angie;7.83;56440;Terminale;AB
Jarvis;5.96;56700;Terminale;P
Shaun;14.51;22300;Terminale;B
Félicie;10.22;35750;Terminale;P
Irvine;9.32;35240;Terminale;AB
Wilfrid;10.64;35131;Terminale;AB
Bentley;9.35;22440;Terminale;B
Delroy;8.80;29380;Terminale;P
Montgomery;11.90;22820;Terminale;B
Joan;7.53;29460;Terminale;B
Edmund;12.34;35120;Terminale;P
Franck;7.55;35310;Terminale;AB
Topher;9.13;56240;Terminale;AB
Branden;9.58;29000;Terminale;AB
Kory;10.11;29850;Terminale;P
Kennith;13.48;22630;Terminale;AB
Dorthy;8.51;56300;Terminale;AB
Brice;9.35;72300;1ère année d'études supérieures;P
Donat;6.20;29000;Terminale;B
Marshal;17.18;22560;Terminale;B
Urban;8.33;22290;Terminale;B
Gwilherm;10.32;56920;Terminale;P
Rudy;9.91;22290;;P
Sly;11.22;35170;Terminale;P
Milo;13.59;35000;Terminale;B
Tybalt;11.54;22230;Terminale;AB
Arron;8.55;22120;Terminale;AB
Jarrett;9.60;44640;Terminale;AB
Philip;9.81;29100;Terminale;AB
Leroy;10.54;29600;Terminale;B
Royle;8.92;22000;Terminale;AB
Darden;9.77;29280;Terminale;P
Bret;9.64;61100;Terminale;AB
Chuck;6.67;22300;Terminale;AB
Brack;13.56;22400;Terminale;P
Chet;10.86;29800;Terminale;AB
Redd;10.93;22200;1ère année d'études supérieures;B
Daniel;17.09;22540;Terminale;AB
Clément;11.82;;Terminale;AB
Jon;9.82;56850;Terminale;AB
Kolby;5.79;14340;Terminale;P
Thelonius;8.80;29120;Terminale;B
Kristia;5.32;29520;Terminale;P
Leopold;11.48;50490;1ère année d'études supérieures;P
Lovell;9.27;29120;Terminale;B
Wymond;12.00;29200;1ère année d'études supérieures;B
Earnest;10.82;22480;Terminale;AB
Edwyn;10.13;29860;Terminale;AB
Kristopher;10.09;56950;Terminale;AB
Jonathan;11.29;31880;Terminale;AB
Zach;7.54;29800;Terminale;AB
Randolf;10.29;35230;Terminale;P
James;17.79;22290;1ère année d'études supérieures;B
Winton;15.97;22570;1ère année d'études supérieures;TB
Gervaise;15.51;22300;Terminale;B
Denzel;10.89;29000;Terminale;P
Maximilien;10.23;85540;Terminale;AB
Clayton;18.11;29150;1ère année d'études supérieures;AB
Jérémie;14.43;22820;Terminale;B
Morley;13.55;35500;Terminale;AB
Bertram;15.79;29200;Terminale;AB
Gratien;7.20;49000;Terminale;P
Xaviar;14.86;29200;Terminale;AB
Reena;6.89;29870;Terminale;P
Timothée;19.07;22110;Terminale;B
Gladwyn;9.84;22590;Terminale;B
Eliott;8.93;49460;Terminale;AB
Brent;9.74;35250;1ère année d'études supérieures;AB
Dayton;10.54;29200;Terminale;B
Gil;11.37;29710;Terminale;AB
Lockie;15.61;29490;Terminale;TB
Woodrow;8.86;35137;Terminale;AB
Driskoll;8.89;35720;Terminale;AB
Stanford;15.11;22170;Terminale;B
Upton;11.82;29750;Terminale;AB
Lalo;10.21;29290;Terminale;AB
Matthieu;16.36;22100;Terminale;AB
Marquis;12.38;22440;Terminale;AB
