prenom;moyenne;code_postal;niveau_etude;mention_bac
Chet;12.58;29800;Terminale;AB
Daniel;13.63;22540;Terminale;AB
Clément;13.25;;Terminale;AB
Jon;11.13;56850;Terminale;AB
Kolby;11.13;14340;Terminale;P
Thelonius;14.00;29120;Terminale;B
Kristia;14.63;29520;Terminale;P
Leopold;12.50;50490;1ère année d'études supérieures;P
Lovell;16.63;29120;Terminale;B
Wymond;12.75;29200;1ère année d'études supérieures;B
Earnest;13.00;22480;Terminale;AB
Edwyn;14.25;29860;Terminale;AB
Kristopher;12.50;56950;Terminale;AB
Jonathan;13.38;31880;Terminale;AB
Zach;14.63;29800;Terminale;AB
Randolf;14.38;35230;Terminale;P
James;15.25;22290;1ère année d'études supérieures;B
Winton;13.63;22570;1ère année d'études supérieures;TB
Gervaise;16.38;22300;Terminale;B
Denzel;14.13;29000;Terminale;P
Maximilien;15.50;85540;Terminale;AB
Clayton;12.38;29150;1ère année d'études supérieures;AB
Jérémie;13.50;22820;Terminale;B
Morley;12.63;35500;Terminale;AB
Bertram;15.25;29200;Terminale;AB
Gratien;12.50;49000;Terminale;P
Xaviar;13.38;29200;Terminale;AB
Reena;13.63;29870;Terminale;P
Timothée;17.00;22110;Terminale;B
Gladwyn;11.38;22590;Terminale;B
Eliott;12.75;49460;Terminale;AB
Brent;13.13;35250;1ère année d'études supérieures;AB
Dayton;14.13;29200;Terminale;B
Gil;13.00;29710;Terminale;AB
Lockie;14.50;29490;Terminale;TB
Woodrow;15.38;35137;Terminale;AB
Driskoll;16.63;35720;Terminale;AB
Stanford;11.25;22170;Terminale;B
Upton;13.00;29750;Terminale;AB
Lalo;12.50;29290;Terminale;AB
Matthieu;16.75;22100;Terminale;AB
Marquis;12.38;22440;Terminale;AB
Deangelo;14.00;29720;1ère année d'études supérieures;AB
Zachary;13.25;22200;Terminale;AB
Dustin;13.38;35160;Terminale;AB
Phillip;11.50;35133;Terminale;B
Deemer;14.88;22600;Terminale;P
Elric;15.75;29233;1ère année d'études supérieures;TB
Lorne;13.50;29710;Terminale;AB
Quin;12.63;35400;Terminale;P
Diodore;12.00;29200;Terminale;P
Maverick;14.00;22550;Terminale;B
Rainier;14.00;41000;Terminale;B
Lally;15.13;22170;Terminale;B
Al;14.38;56240;1ère année d'études supérieures;P
Annie;15.13;35170;1ère année d'études supérieures;TB
Mason;15.00;29200;Terminale;P
Donnie;12.00;56870;Terminale;AB
Sylvain;13.50;29500;Terminale;B
Fabrice;13.00;29800;Terminale;AB
Perry;9.13;35000;1ère année d'études supérieures;AB
Gene;12.50;29250;Terminale;AB
Leyton;11.00;22930;Terminale;P
Kipling;14.50;22470;2nd année d'études supérieures;P
Hewie;11.75;56120;Terminale;B
Felicity;16.25;85170;Terminale;AB
Maurine;16.00;22000;Terminale;B
Kolby;13.00;14340;Terminale;P
Landon;14.50;29233;Terminale;B
Kristia;14.75;29520;Terminale;P
Everard;15.25;22300;Terminale;AB
Trent;16.75;22300;;
Everett;15.00;22940;Terminale;B
Armel;12.00;22590;Terminale;AB
Gervase;16.50;56400;1ère année d'études supérieures;P
Piers;17.75;22400;Terminale;AB
Shaw;15.00;35890;Terminale;AB
Wiley;14.25;35740;Terminale;AB
Constant;17.75;22150;Terminale;P
Alban;12.00;22300;1ère année d'études supérieures;AB
Jeffrey;15.75;29830;Terminale;AB
Edison;12.00;35000;Terminale;P
Jacob;15.75;35870;Terminale;AB
Amédée;15.13;29800;Terminale;B
Nathan;15.00;22700;Terminale;B
Guiscard;14.50;35170;Terminale;AB
Kimball;13.00;50600;Terminale;AB
Zach;14.00;29800;Terminale;AB
Deon;15.00;29800;Terminale;B
Lovel;12.50;35450;Terminale;AB
Randolf;16.25;35230;Terminale;P
Shelley;14.00;29840;Terminale;TB
Lucienne;16.50;56140;Terminale;B
Wilbur;16.50;35800;Terminale;AB
Johnie;13.25;22440;Terminale;B
Van;13.75;29490;Terminale;P
Tel;13.25;22950;Terminale;AB
Jeff;15.25;22400;Terminale;AB
Gratien;12.00;49000;Terminale;P
Dawson;17.50;35131;1ère année d'études supérieures;TB
Floyd;10.25;29590;1ère année d'études supérieures;P
Dayton;13.25;29200;Terminale;B
Xavier;13.50;29170;Terminale;P
Lorn;15.00;22100;Terminale;B
Pete;11.75;22300;1ère année d'études supérieures;AB
Kole;12.75;29190;Terminale;B
Joël;14.00;22730;Année préparatoire aux études supérieures;AB
Layton;13.75;35350;Terminale;B
Michel;14.00;29850;Terminale;P
Jérémie;15.25;22300;Terminale;TB
Bennett;15.50;22120;Terminale;B
Beauregard;12.25;49300;1ère année d'études supérieures;P
Félix;13.00;29000;Terminale;AB
Marin;13.25;56240;Terminale;P
Major;12.00;56190;Terminale;AB
Telesphore;12.75;6650 ;Terminale;B
Lori;15.50;29650;2nd année d'études supérieures;B
Gore;15.00;22700;1ère année d'études supérieures;AB
Elea;17.25;22220;Terminale;TB
Linton;15.88;35500;Terminale;B
York;12.88;56250;Terminale;P
Upton;17.00;29750;Terminale;AB
Félicie;14.00;35750;Terminale;P
Nicodème;13.75;22750;Terminale;AB
Michel;12.00;22300;Terminale;B
Deangelo;16.75;29720;1ère année d'études supérieures;AB
Zachary;13.88;22200;Terminale;AB
Montgomery;10.00;22820;Terminale;B
Justin;10.50;22120;Terminale;AB
Joscelin;13.25;29250;Terminale;P
Booker;13.25;56300;Terminale;P
Vinnie;12.88;35730;Terminale;AB
Quin;12.00;35400;Terminale;P
Brice;12.50;72300;1ère année d'études supérieures;P
Lanford;15.25;56440;1ère année d'études supérieures;B
Marion;13.50;35131;Terminale;AB
Odell;16.00;29170;Terminale;TB
Lorn;14.50;29000;Terminale;AB
Louie;15.25;35170;1ère année d'études supérieures;AB
Luann;15.25;29800;Terminale;B
Cole;14.00;22600;Terminale;P
Teale;14.75;56120;Terminale;B
Dax;12.50;35520;Terminale;P
Lally;15.50;22170;Terminale;B
Garey;11.50;35230;Terminale;P
Oz;16.50;22590;Terminale;B
Jermaine;12.00;29470;Terminale;AB
Charlot;13.88;29900;Terminale;TB
Lowell;13.38;29470;Terminale;P
Sébastienne;17.00;22250;Terminale;TB
Erica;13.25;29800;Terminale;B
Russell;13.00;56140;Terminale;AB
Arden;15.00;35140;Terminale;AB
Jeannot;16.50;44230;Terminale;AB
Xavior;15.00;56100;Terminale;AB
Gil;18.75;22730;Terminale;AB
Zacharie;12.13;35410;Terminale;AB
Denis;13.25;50620;Terminale;AB
Jake;14.00;56370;Terminale;P
Jimi;13.88;56680;Terminale;AB
Innocent;14.50;22410;Terminale;P
Christine;15.00;35230;Terminale;AB
Jonathon;11.50;35340;Terminale;AB
Uland;12.00;29800;Terminale;TB
Kay;14.50;35740;Terminale;AB
Jere;13.00;85170;Terminale;AB
Kodey;15.63;22410;Terminale;B
Corie;13.75;35700;Terminale;AB
Jonathon;15.50;29510;Terminale;B
Lucetta;17.50;85600;Terminale;TB
Forest;13.50;35760;Terminale;AB
Durward;15.00;29390;Terminale;AB
Careen;15.50;22810;1ère année d'études supérieures;AB
Marly;17.50;35310;Terminale;AB
Rhonda;12.88;35000;Terminale;AB
Thaddeus;16.00;22300;2nd année d'études supérieures;AB
Maynard;15.63;22120;Terminale;AB
Cole;14.00;22120;Terminale;P
Benjy;12.38;22600;Terminale;AB
Xerxes;12.50;22960;Terminale;P
Jamison;15.00;50300;Terminale;B
Kenith;16.88;35340;Terminale;AB
Hector;13.25;56800;Terminale;P
Dominic;8.50;22730;Terminale;B
Lloyd;14.25;35220;Terminale;AB
Van;16.50;29490;Terminale;P
Gladwyn;15.38;35500;Terminale;AB
Benson;14.50;22120;Terminale;AB
Maverick;16.00;35290;Terminale;AB
Pancras;13.25;29860;Terminale;AB
Jay;16.25;22190;Terminale;P
Toussaint;15.50;56260;Terminale;AB
Flip;15.00;56530;Terminale;B
Humphry;15.00;56230;Terminale;AB
Jerome;11.75;35132;Terminale;B
Lorin;13.00;35750;Terminale;B
Randall;16.00;49270;Terminale;P
Cleve;13.75;35360;Terminale;B
Beatrix;13.75;22300;Terminale;B
Moses;12.25;29400;Terminale;P
Estelle;16.50;29260;Terminale;AB
Beauregard;13.00;49300;1ère année d'études supérieures;P
Porter;14.25;22140;Terminale;AB
Terence;14.00;56130;Terminale;B
Telesphore;16.13;6650 ;Terminale;B
Egbert;14.00;22600;1ère année d'études supérieures;AB
Ern;12.50;56600;Terminale;B
Antony;16.50;22100;Terminale;P
Linton;14.75;35500;Terminale;B
Audrey;15.00;22300;Terminale;AB
Anson;15.88;35430;Terminale;B
Dudley;12.75;22100;Terminale;AB
Burt;11.00;22200;Terminale;P
Angie;15.63;56440;Terminale;AB
Jarvis;14.00;56700;Terminale;P
Shaun;15.50;22300;Terminale;B
Félicie;14.00;35750;Terminale;P
Irvine;11.25;35240;Terminale;AB
Wilfrid;12.75;35131;Terminale;AB
Delroy;17.00;29380;Terminale;P
Montgomery;12.13;22820;Terminale;B
Joan;13.25;29460;Terminale;B
Edmund;12.50;35120;Terminale;P
Franck;17.25;35310;Terminale;AB
Topher;16.50;56240;Terminale;AB
Branden;13.25;29000;Terminale;AB
Kory;16.50;29850;Terminale;P
Kennith;15.63;22630;Terminale;AB
Dorthy;14.25;56300;Terminale;AB
Brice;12.63;72300;1ère année d'études supérieures;P
Donat;14.75;29000;Terminale;B
Marshal;15.00;22560;Terminale;B
Urban;13.50;22290;Terminale;B
Gwilherm;12.75;56920;Terminale;P
Rudy;14.25;22290;;P
Sly;14.00;35170;Terminale;P
Milo;13.25;35000;Terminale;B
Tybalt;16.50;22230;Terminale;AB
Arron;14.50;22120;Terminale;AB
Jarrett;13.25;44640;Terminale;AB
Philip;13.50;29100;Terminale;AB
Leroy;9.75;29600;Terminale;B
Royle;12.00;22000;Terminale;AB
Darden;14.63;29280;Terminale;P
Bret;11.38;61100;Terminale;AB
Chuck;14.00;22300;Terminale;AB
Brack;12.00;22400;Terminale;P
Chet;14.25;29800;Terminale;AB
Constant;5.17;22150;Terminale;P
Bret;13.27;61100;Terminale;AB
Leopold;7.73;50490;1ère année d'études supérieures;P
Kolby;7.58;14340;Terminale;P
Kolby;7.42;14340;Terminale;P
Kimball;9.50;50600;Terminale;AB
Ern;11.00;56600;Terminale;B
Sly;8.23;35170;Terminale;P
Jeannot;15.10;44230;Terminale;AB
Irvine;8.00;35240;Terminale;AB
Wilfrid;11.27;35131;Terminale;AB
Cleve;12.73;35360;Terminale;B
Kennith;18.77;22630;Terminale;AB
Jerome;9.33;35132;Terminale;B
Marshal;16.00;22560;Terminale;B
Kay;6.07;35740;Terminale;AB
Benson;9.80;22120;Terminale;AB
Jarvis;8.50;56700;Terminale;P
Maverick;9.77;35290;Terminale;AB
Innocent;8.43;22410;Terminale;P
Beatrix;11.67;22300;Terminale;B
Kenith;11.87;35340;Terminale;AB
Dominic;10.42;22730;Terminale;B
Burt;10.73;22200;Terminale;P
Forest;8.60;35760;Terminale;AB
Odell;9.67;29170;Terminale;TB
Beauregard;7.50;49300;1ère année d'études supérieures;P
Beauregard;3.00;49300;1ère année d'études supérieures;P
Jay;5.23;22190;Terminale;P
Rhonda;5.60;35000;Terminale;AB
Urban;10.40;22290;Terminale;B
Jamison;12.40;50300;Terminale;B
Lloyd;8.20;35220;Terminale;AB
Xerxes;9.97;22960;Terminale;P
Durward;5.03;29390;Terminale;AB
Branden;8.33;29000;Terminale;AB
Delroy;5.80;29380;Terminale;P
Antony;8.60;22100;Terminale;P
Jonathon;9.07;35340;Terminale;AB
Lorin;10.60;35750;Terminale;B
Cole;5.20;22120;Terminale;P
Tybalt;14.03;22230;Terminale;AB
Benjy;8.42;22600;Terminale;AB
Hector;5.40;56800;Terminale;P
Milo;15.63;35000;Terminale;B
Dudley;12.43;22100;Terminale;AB
Arden;4.23;35140;Terminale;AB
Erica;8.17;29800;Terminale;B
Christine;11.90;35230;Terminale;AB
Chuck;8.67;22300;Terminale;AB
Flip;15.67;56530;Terminale;B
Joan;4.37;29460;Terminale;B
Kodey;17.17;22410;Terminale;B
Philip;11.13;29100;Terminale;AB
Jarrett;13.70;44640;Terminale;AB
Angie;8.37;56440;Terminale;AB
Gwilherm;6.17;56920;Terminale;P
Pancras;12.27;29860;Terminale;AB
Lowell;7.50;29470;Terminale;P
Leroy;10.70;29600;Terminale;B
Arron;7.00;22120;Terminale;AB
Brack;15.93;22400;Terminale;P
Kory;7.23;29850;Terminale;P
Maynard;11.30;22120;Terminale;AB
Bentley;9.03;22440;Terminale;B
Royle;11.77;22000;Terminale;AB
Porter;12.93;22140;Terminale;AB
Estelle;6.60;29260;Terminale;AB
Sébastienne;6.50;22250;Terminale;TB
Dorthy;7.83;56300;Terminale;AB
Trent;5.92;22300;;
Anson;17.60;35430;Terminale;B
Corie;8.93;35700;Terminale;AB
Zacharie;11.70;35410;Terminale;AB
Jake;8.90;56370;Terminale;P
Shaun;8.07;22300;Terminale;B
Donat;8.43;29000;Terminale;B
Jonathon;4.53;29510;Terminale;B
Chet;7.40;29800;Terminale;AB
Humphry;5.77;56230;Terminale;AB
Moses;19.80;29400;Terminale;P
Jere;5.07;85170;Terminale;AB
Toussaint;5.67;56260;Terminale;AB
Dawson;18.00;35131;1ère année d'études supérieures;TB
Denis;7.83;50620;Terminale;AB
Gil;15.53;22730;Terminale;AB
Edmund;6.73;35120;Terminale;P
Matthieu;18.33;22100;Terminale;AB
Brent;10.31;35250;1ère année d'études supérieures;AB
Thaddeus;16.93;22300;2nd année d'études supérieures;AB
Deangelo;5.83;29720;1ère année d'études supérieures;AB
Deangelo;3.40;29720;1ère année d'études supérieures;AB
Clayton;17.17;29150;1ère année d'études supérieures;AB
Wymond;12.63;29200;1ère année d'études supérieures;B
Redd;9.07;22200;1ère année d'études supérieures;B
Reena;7.17;29870;Terminale;P
Annie;13.13;35170;1ère année d'études supérieures;TB
Lori;17.83;29650;2nd année d'études supérieures;B
Lanford;7.42;56440;1ère année d'études supérieures;B
Gervase;6.00;56400;1ère année d'études supérieures;P
James;18.00;22290;1ère année d'études supérieures;B
Rudy;12.00;22290;;P
Elric;17.63;29233;1ère année d'études supérieures;TB
Jon;9.30;56850;Terminale;AB
Al;14.67;56240;1ère année d'études supérieures;P
Edwyn;7.73;29860;Terminale;AB
Winton;17.47;22570;1ère année d'études supérieures;TB
Stanford;11.50;22170;Terminale;B
Lally;10.50;22170;Terminale;B
Lally;4.43;22170;Terminale;B
Jérémie;11.27;22820;Terminale;B
Alban;6.17;22300;1ère année d'études supérieures;AB
Zachary;2.33;22200;Terminale;AB
Zachary;6.47;22200;Terminale;AB
Clément;9.40;;Terminale;AB
Joël;9.17;22730;Année préparatoire aux études supérieures;AB
Timothée;18.20;22110;Terminale;B
Gladwyn;6.93;22590;Terminale;B
Perry;4.00;35000;1ère année d'études supérieures;AB
Egbert;8.40;22600;1ère année d'études supérieures;AB
Montgomery;11.77;22820;Terminale;B
Montgomery;5.75;22820;Terminale;B
Gervaise;6.13;22300;Terminale;B
Gore;6.25;22700;1ère année d'études supérieures;AB
Kole;5.50;29190;Terminale;B
Lovell;11.63;29120;Terminale;B
Lalo;10.33;29290;Terminale;AB
Lalo;14.20;29290;Terminale;AB
Kristia;8.75;29520;Terminale;P
Kristia;5.67;29520;Terminale;P
Gil;9.83;29710;Terminale;AB
Gene;10.83;29250;Terminale;AB
Lorne;8.30;29710;Terminale;AB
Xaviar;12.81;29200;Terminale;AB
Upton;13.75;29750;Terminale;AB
Upton;7.23;29750;Terminale;AB
Woodrow;9.37;35137;Terminale;AB
Ike;7.83;35720;Terminale;B
Ike;5.67;35720;Terminale;B
Quin;9.50;35400;Terminale;P
Quin;12.87;35400;Terminale;P
Dustin;15.70;35160;Terminale;AB
Wiley;10.50;35740;Terminale;AB
Randolf;13.83;35230;Terminale;P
Randolf;6.47;35230;Terminale;P
Kristopher;8.48;56950;Terminale;AB
Vincent;6.92;35200;Terminale;B
Marquis;16.50;22440;Terminale;AB
Booker;5.42;56300;Terminale;P
Hewie;18.25;56120;Terminale;B
Maverick;10.47;22550;Terminale;B
Bertram;11.00;29200;Terminale;AB
Louie;15.33;35170;1ère année d'études supérieures;AB
Charlot;8.58;29900;Terminale;TB
Zach;6.50;29800;Terminale;AB
Zach;1.83;29800;Terminale;AB
York;6.42;56250;Terminale;P
Thelonius;10.13;29120;Terminale;B
Earnest;11.67;22480;Terminale;AB
Michel;10.50;29850;Terminale;P
Driskoll;8.23;35720;Terminale;AB
Morley;6.56;35500;Terminale;AB
Daniel;17.43;22540;Terminale;AB
Sylvain;8.50;29500;Terminale;B
Deemer;10.91;22600;Terminale;P
Pete;10.00;22300;1ère année d'études supérieures;AB
Diodore;3.33;29200;Terminale;P
Lockie;3.67;29490;Terminale;TB
Floyd;11.83;29590;1ère année d'études supérieures;P
Denzel;11.35;29000;Terminale;P
Justin;8.50;22120;Terminale;AB
Everett;13.75;22940;Terminale;B
Nicodème;8.00;22750;Terminale;AB
Elea;11.58;22220;Terminale;TB
Leyton;7.92;22930;Terminale;P
Leyton;5.58;22930;Terminale;P
Michel;16.58;22300;Terminale;B
Armel;7.42;22590;Terminale;AB
Careen;9.10;22810;1ère année d'études supérieures;AB
Lorn;7.75;22100;Terminale;B
Nathan;11.33;22700;Terminale;B
Deon;12.83;29800;Terminale;B
Amédée;11.25;29800;Terminale;B
Fabrice;11.92;29800;Terminale;AB
Félix;6.00;29000;Terminale;AB
Mason;10.92;29200;Terminale;P
Joscelin;6.50;29250;Terminale;P
Everard;6.92;22300;Terminale;AB
Marion;7.00;35131;Terminale;AB
Garey;10.17;35230;Terminale;P
Linton;6.00;35500;Terminale;B
Linton;5.67;35500;Terminale;B
Edison;8.00;35000;Terminale;P
Marin;5.33;56240;Terminale;P
Jermaine;6.08;29470;Terminale;AB
Jeffrey;14.33;29830;Terminale;AB
Dax;8.50;35520;Terminale;P
Piers;11.17;22400;Terminale;AB
Bennett;12.83;22120;Terminale;B
Landon;5.67;29233;Terminale;B
Xavier;12.42;29170;Terminale;P
Lovel;9.83;35450;Terminale;AB
Tel;12.42;22950;Terminale;AB
Maurine;12.33;22000;Terminale;B
Shelley;14.42;29840;Terminale;TB
Jacob;5.92;35870;Terminale;AB
Félicie;5.80;35750;Terminale;P
Van;8.43;29490;Terminale;P
Van;7.67;29490;Terminale;P
Luann;10.25;29800;Terminale;B
Uland;13.93;29800;Terminale;TB
Lucienne;9.25;56140;Terminale;B
Shaw;11.83;35890;Terminale;AB
Wilbur;16.67;35800;Terminale;AB
Teale;13.17;56120;Terminale;B
Cole;5.42;22600;Terminale;P
Lorn;13.67;29000;Terminale;AB
Guiscard;16.42;35170;Terminale;AB
Jérémie;20.00;22300;Terminale;TB
Dayton;8.08;29200;Terminale;B
Dayton;4.87;29200;Terminale;B
Rainier;9.73;41000;Terminale;B
Audrey;4.70;22300;Terminale;AB
Jimi;9.27;56680;Terminale;AB
Gladwyn;9.70;35500;Terminale;AB
Franck;6.53;35310;Terminale;AB
Xavior;5.13;56100;Terminale;AB
Terence;6.40;56130;Terminale;B
Russell;9.80;56140;Terminale;AB
Darden;9.23;29280;Terminale;P
Marly;6.40;35310;Terminale;AB
Topher;11.13;56240;Terminale;AB
Randall;3.43;49270;Terminale;P
Lucetta;14.30;85600;Terminale;TB
Jonathan;10.91;31880;Terminale;AB
Maximilien;8.37;85540;Terminale;AB
Eliott;9.97;49460;Terminale;AB
Gratien;6.00;49000;Terminale;P
Gratien;6.87;49000;Terminale;P
Brice;7.80;72300;1ère année d'études supérieures;P
Brice;5.67;72300;1ère année d'études supérieures;P
Major;6.83;56190;Terminale;AB
Felicity;10.67;85170;Terminale;AB
Oz;16.33;22590;Terminale;B
Kipling;4.97;22470;2nd année d'études supérieures;P
Kipling;0.00;22470;2nd année d'études supérieures;P
Vinnie;9.50;35730;Terminale;AB
Layton;12.83;35350;Terminale;B
Johnie;11.92;22440;Terminale;B
Telesphore;17.57;6650 ;Terminale;B
Telesphore;5.33;6650 ;Terminale;B
Phillip;5.83;35133;Terminale;B
Constant;14.00;22150;Terminale;P
Bret;14.25;61100;Terminale;AB
Leopold;15.25;50490;1ère année d'études supérieures;P
Kolby;9.25;14340;Terminale;P
Kolby;9.50;14340;Terminale;P
Kimball;8.50;50600;Terminale;AB
Ern;11.50;56600;Terminale;B
Sly;16.00;35170;Terminale;P
Jeannot;15.00;44230;Terminale;AB
Irvine;6.75;35240;Terminale;AB
Wilfrid;14.50;35131;Terminale;AB
Cleve;15.50;35360;Terminale;B
Kennith;11.25;22630;Terminale;AB
Jerome;13.50;35132;Terminale;B
Marshal;18.00;22560;Terminale;B
Kay;8.00;35740;Terminale;AB
Benson;11.25;22120;Terminale;AB
Jarvis;12.00;56700;Terminale;P
Maverick;11.50;35290;Terminale;AB
Innocent;11.75;22410;Terminale;P
Beatrix;15.25;22300;Terminale;B
Kenith;8.25;35340;Terminale;AB
Dominic;17.00;22730;Terminale;B
Burt;16.00;22200;Terminale;P
Forest;15.50;35760;Terminale;AB
Odell;13.88;29170;Terminale;TB
Beauregard;8.25;49300;1ère année d'études supérieures;P
Beauregard;7.63;49300;1ère année d'études supérieures;P
Jay;14.50;22190;Terminale;P
Rhonda;15.00;35000;Terminale;AB
Urban;10.75;22290;Terminale;B
Jamison;8.75;50300;Terminale;B
Lloyd;13.00;35220;Terminale;AB
Xerxes;13.75;22960;Terminale;P
Durward;11.00;29390;Terminale;AB
Branden;16.00;29000;Terminale;AB
Delroy;14.50;29380;Terminale;P
Antony;12.00;22100;Terminale;P
Jonathon;10.50;35340;Terminale;AB
Lorin;13.25;35750;Terminale;B
Cole;10.50;22120;Terminale;P
Tybalt;17.50;22230;Terminale;AB
Benjy;15.50;22600;Terminale;AB
Hector;8.50;56800;Terminale;P
Milo;17.50;35000;Terminale;B
Dudley;16.00;22100;Terminale;AB
Arden;3.75;35140;Terminale;AB
Erica;13.00;29800;Terminale;B
Christine;14.50;35230;Terminale;AB
Chuck;5.75;22300;Terminale;AB
Flip;15.00;56530;Terminale;B
Joan;11.00;29460;Terminale;B
Kodey;16.00;22410;Terminale;B
Philip;13.25;29100;Terminale;AB
Jarrett;11.25;44640;Terminale;AB
Angie;10.25;56440;Terminale;AB
Gwilherm;14.75;56920;Terminale;P
Pancras;14.25;29860;Terminale;AB
Lowell;13.50;29470;Terminale;P
Leroy;14.00;29600;Terminale;B
Arron;14.00;22120;Terminale;AB
Brack;11.75;22400;Terminale;P
Kory;14.75;29850;Terminale;P
Maynard;7.00;22120;Terminale;AB
Bentley;9.00;22440;Terminale;B
Royle;17.00;22000;Terminale;AB
Porter;15.00;22140;Terminale;AB
Estelle;11.75;29260;Terminale;AB
Sébastienne;15.50;22250;Terminale;TB
Dorthy;10.00;56300;Terminale;AB
Trent;13.50;22300;;
Anson;16.75;35430;Terminale;B
Corie;8.00;35700;Terminale;AB
Zacharie;15.50;35410;Terminale;AB
Jake;9.00;56370;Terminale;P
Shaun;13.00;22300;Terminale;B
Donat;10.50;29000;Terminale;B
Jonathon;8.50;29510;Terminale;B
Chet;8.00;29800;Terminale;AB
Humphry;11.50;56230;Terminale;AB
Moses;20.00;29400;Terminale;P
Jere;12.00;85170;Terminale;AB
Toussaint;9.25;56260;Terminale;AB
Dawson;18.50;35131;1ère année d'études supérieures;TB
Denis;11.75;50620;Terminale;AB
Gil;18.00;22730;Terminale;AB
Edmund;18.00;35120;Terminale;P
Matthieu;9.75;22100;Terminale;AB
Brent;12.00;35250;1ère année d'études supérieures;AB
Thaddeus;19.25;22300;2nd année d'études supérieures;AB
Deangelo;9.38;29720;1ère année d'études supérieures;AB
Deangelo;5.00;29720;1ère année d'études supérieures;AB
Clayton;13.25;29150;1ère année d'études supérieures;AB
Wymond;10.50;29200;1ère année d'études supérieures;B
Redd;7.50;22200;1ère année d'études supérieures;B
Reena;7.00;29870;Terminale;P
Annie;12.25;35170;1ère année d'études supérieures;TB
Lori;17.75;29650;2nd année d'études supérieures;B
Lanford;15.50;56440;1ère année d'études supérieures;B
Gervase;12.00;56400;1ère année d'études supérieures;P
James;16.75;22290;1ère année d'études supérieures;B
Rudy;14.75;22290;;P
Elric;13.50;29233;1ère année d'études supérieures;TB
Jon;10.00;56850;Terminale;AB
Al;15.00;56240;1ère année d'études supérieures;P
Edwyn;8.25;29860;Terminale;AB
Winton;15.50;22570;1ère année d'études supérieures;TB
Stanford;11.00;22170;Terminale;B
Lally;12.63;22170;Terminale;B
Lally;4.00;22170;Terminale;B
Jérémie;11.00;22820;Terminale;B
Alban;13.75;22300;1ère année d'études supérieures;AB
Zachary;12.13;22200;Terminale;AB
Zachary;10.50;22200;Terminale;AB
Clément;8.00;;Terminale;AB
Joël;14.13;22730;Année préparatoire aux études supérieures;AB
Timothée;13.25;22110;Terminale;B
Gladwyn;7.50;22590;Terminale;B
Perry;10.50;35000;1ère année d'études supérieures;AB
Egbert;17.00;22600;1ère année d'études supérieures;AB
Montgomery;11.25;22820;Terminale;B
Montgomery;10.00;22820;Terminale;B
Gervaise;9.50;22300;Terminale;B
Gore;8.88;22700;1ère année d'études supérieures;AB
Kole;12.50;29190;Terminale;B
Lovell;12.25;29120;Terminale;B
Lalo;11.00;29290;Terminale;AB
Lalo;8.00;29290;Terminale;AB
Kristia;12.50;29520;Terminale;P
Kristia;4.50;29520;Terminale;P
Gil;8.00;29710;Terminale;AB
Gene;15.13;29250;Terminale;AB
Lorne;7.50;29710;Terminale;AB
Xaviar;13.50;29200;Terminale;AB
Upton;10.88;29750;Terminale;AB
Upton;6.50;29750;Terminale;AB
Woodrow;5.50;35137;Terminale;AB
Ike;15.75;35720;Terminale;B
Ike;3.00;35720;Terminale;B
Quin;15.25;35400;Terminale;P
Quin;13.63;35400;Terminale;P
Dustin;10.00;35160;Terminale;AB
Wiley;12.00;35740;Terminale;AB
Randolf;12.38;35230;Terminale;P
Randolf;9.50;35230;Terminale;P
Kristopher;7.50;56950;Terminale;AB
Vincent;13.88;35200;Terminale;B
Marquis;13.00;22440;Terminale;AB
Booker;11.63;56300;Terminale;P
Hewie;11.88;56120;Terminale;B
Maverick;14.50;22550;Terminale;B
Bertram;10.75;29200;Terminale;AB
Louie;13.00;35170;1ère année d'études supérieures;AB
Charlot;4.50;29900;Terminale;TB
Zach;12.25;29800;Terminale;AB
Zach;6.00;29800;Terminale;AB
York;4.25;56250;Terminale;P
Thelonius;12.50;29120;Terminale;B
Earnest;8.50;22480;Terminale;AB
Michel;8.88;29850;Terminale;P
Driskoll;7.50;35720;Terminale;AB
Morley;7.50;35500;Terminale;AB
Daniel;13.13;22540;Terminale;AB
Sylvain;12.38;29500;Terminale;B
Deemer;9.50;22600;Terminale;P
Pete;7.63;22300;1ère année d'études supérieures;AB
Diodore;11.00;29200;Terminale;P
Lockie;8.50;29490;Terminale;TB
Floyd;4.50;29590;1ère année d'études supérieures;P
Denzel;10.00;29000;Terminale;P
Justin;13.63;22120;Terminale;AB
Everett;10.50;22940;Terminale;B
Nicodème;12.75;22750;Terminale;AB
Elea;14.00;22220;Terminale;TB
Leyton;14.25;22930;Terminale;P
Leyton;1.13;22930;Terminale;P
Michel;17.00;22300;Terminale;B
Armel;5.50;22590;Terminale;AB
Careen;17.00;22810;1ère année d'études supérieures;AB
Lorn;15.75;22100;Terminale;B
Nathan;12.38;22700;Terminale;B
Deon;12.75;29800;Terminale;B
Amédée;9.75;29800;Terminale;B
Fabrice;13.50;29800;Terminale;AB
Félix;8.25;29000;Terminale;AB
Mason;10.50;29200;Terminale;P
Joscelin;13.00;29250;Terminale;P
Everard;8.88;22300;Terminale;AB
Marion;11.25;35131;Terminale;AB
Garey;7.25;35230;Terminale;P
Linton;15.00;35500;Terminale;B
Linton;12.13;35500;Terminale;B
Edison;7.75;35000;Terminale;P
Marin;6.75;56240;Terminale;P
